cluster_id,cluster_name,n_words,mean_silhouette,min_silhouette,max_silhouette,best_fitting_words,worst_fitting_words
12,taylor / woodrow / anglian,3,0.9429618716239929,0.9272162318229675,0.9581030011177063,"woodrow, taylor, anglian","woodrow, taylor, anglian"
17,dry / pack,2,0.6861491203308105,0.6746636033058167,0.6976346969604492,"pack, dry","pack, dry"
13,high / rise / low,3,0.5468990802764893,0.4289019703865051,0.6249270439147949,"rise, high, low","rise, high, low"
19,asbestos / removed,2,0.32132941484451294,0.3065592646598816,0.3360995352268219,"asbestos, removed","asbestos, removed"
18,hall / town,2,0.31169164180755615,0.2665145695209503,0.3568686842918396,"hall, town","hall, town"
20,heard / noise,2,0.2980302572250366,0.28971824049949646,0.3063422441482544,"noise, heard","noise, heard"
11,walk / morris / glc,4,0.29668647050857544,0.02140035666525364,0.4572427272796631,"morris, walk, series, glc","walk, series, glc"
21,place / took,2,0.2567684054374695,0.23151575028896332,0.28202107548713684,"place, took","place, took"
14,structural / engineers / engineer,3,0.25039687752723694,0.2335878163576126,0.27642330527305603,"structural, engineer, engineers","structural, engineer, engineers"
25,research / bre,2,0.1754218190908432,0.11415543407201767,0.23668821156024933,"research, bre","research, bre"
10,goodfellow / griffiths / eveleigh,5,0.1526111662387848,0.08289682120084763,0.23086798191070557,"goodfellow, eveleigh, griffiths, thought, hodge","griffiths, thought, hodge"
23,great / deal,2,0.15071144700050354,0.13540418446063995,0.16601869463920593,"great, deal","great, deal"
15,water / ceiling / cracks,3,0.07323689013719559,0.015359888784587383,0.1355431228876114,"water, cracks, ceiling","water, cracks, ceiling"
26,estates / manchester,2,0.054600805044174194,0.04405423626303673,0.06514737010002136,"estates, manchester","estates, manchester"
22,meet / standards,2,0.0409352108836174,0.032864272594451904,0.049006152898073196,"standards, meet","standards, meet"
4,floor / wall / flat,19,0.03366350755095482,-0.11793778836727142,0.18265585601329803,"loadbearing, flank, panels, walls, slab","joint, external, level"
16,carried / survey / improvements,3,0.03176535293459892,-0.046009551733732224,0.07370005548000336,"carried, survey, improvements","carried, survey, improvements"
6,local / services / authority,17,0.02723425067961216,-0.0811014398932457,0.11451317369937897,"authority, consultation, relationship, compensatory, local","good, social, government"
3,tower / block / children,26,0.015952106565237045,-0.17043520510196686,0.15628266334533691,"accommodation, families, households, offered, children","tenant, tower, new"
7,community / national / directory,11,0.012294105254113674,-0.05023353546857834,0.08059903979301453,"west, links, east, ham, community","network, south, ntbn"
5,heating / systems / play,18,-0.02336605079472065,-0.17131714522838593,0.07457525283098221,"escape, lifts, entry, inadequate, door","bedroom, smoke, installed"
8,ronan / public / evidence,9,-0.025507748126983643,-0.16872680187225342,0.1157396137714386,"inquiry, text, public, illegible, section","health, evidence, ronan"
9,building / gas / explosion,7,-0.026768313720822334,-0.20482207834720612,0.06639020144939423,"collapse, explosion, caused, damage, gas","gas, building, regulations"
2,residents / group / action,27,-0.07488074898719788,-0.26373806595802307,0.09384503215551376,"rpg, options, ledbury, resident, towers","action, george, project"
1,blocks / estate / flats,32,-0.0884457603096962,-0.27133435010910034,0.023057278245687485,"include, bison, total, flats, aspects","construction, built, owners"
0,tenants / council / housing,44,-0.10927148163318634,-0.20815621316432953,0.0037780916318297386,"neighbourhood, house, council, housing, law","city, webb, associations"
24,july / test,2,-0.13727021217346191,-0.18710830807685852,-0.0874321237206459,"test, july","test, july"
